year,subject,grade,percentile,scale_score
2018,math,4,40,2445
2018,math,4,50,2469
2018,math,4,60,2491
2018,math,4,70,2515
2018,math,4,80,2544
2018,math,4,90,2581
2018,math,4,99,2659
2019,math,4,1,2261
2019,math,4,10,2360
2019,math,4,20,2397
2019,math,4,30,2425
2019,math,4,40,2450
2019,math,4,50,2473
2019,math,4,60,2496
2019,math,4,70,2520
2019,math,4,80,2549
2019,math,4,90,2586
2019,math,4,99,2659
2022,math,4,1,2226
2022,math,4,10,2333
2022,math,4,20,2372
2022,math,4,30,2401
2022,math,4,40,2428
2022,math,4,50,2454
2022,math,4,60,2480
2022,math,4,70,2507
2022,math,4,80,2537
2022,math,4,90,2577
2022,math,4,99,2681
2023,math,4,1,2228
2023,math,4,10,2337
2023,math,4,20,2377
2023,math,4,30,2408
2023,math,4,40,2435
2023,math,4,50,2461
2023,math,4,60,2487
2023,math,4,70,2514
2023,math,4,80,2544
2023,math,4,90,2585
2023,math,4,99,2690
2024,math,4,1,2229
2024,math,4,10,2338
2024,math,4,20,2378
2024,math,4,30,2409
2024,math,4,40,2436
2024,math,4,50,2462
2024,math,4,60,2488
2024,math,4,70,2515
2024,math,4,80,2545
2024,math,4,90,2586
2024,math,4,99,2693
2025,math,4,1,2231
2025,math,4,10,2339
2025,math,4,20,2381
2025,math,4,30,2412
2025,math,4,40,2439
2025,math,4,50,2464
2025,math,4,60,2490
2025,math,4,70,2517
2025,math,4,80,2548
2025,math,4,90,2589
2025,math,4,99,2700
2015,math,5,1,2280
2015,math,5,10,2369
2015,math,5,20,2403
2015,math,5,30,2428
2015,math,5,40,2452
2015,math,5,50,2476
2015,math,5,60,2501
2015,math,5,70,2529
2015,math,5,80,2560
2015,math,5,90,2600
2015,math,5,99,2690
2016,math,5,1,2279
2016,math,5,10,2369
2016,math,5,20,2405
2016,math,5,30,2432
2016,math,5,40,2457
2016,math,5,50,2482
2016,math,5,60,2508
2016,math,5,70,2536
2016,math,5,80,2567
2016,math,5,90,2608
2016,math,5,99,2699
2017,math,5,1,2277
2017,math,5,10,2366
2017,math,5,20,2403
2017,math,5,30,2431
2017,math,5,40,2457
2017,math,5,50,2483
2017,math,5,60,2510
2017,math,5,70,2539
2017,math,5,80,2571
2017,math,5,90,2612
2017,math,5,99,2700
2018,math,5,1,2277
2018,math,5,10,2368
2018,math,5,20,2406
2018,math,5,30,2435
2018,math,5,40,2462
2018,math,5,50,2489
2018,math,5,60,2516
2018,math,5,70,2545
2018,math,5,80,2577
2018,math,5,90,2618
2018,math,5,99,2700
2019,math,5,1,2278
2019,math,5,10,2371
2019,math,5,20,2410
2019,math,5,30,2440
2019,math,5,40,2468
2019,math,5,50,2495
2019,math,5,60,2522
2019,math,5,70,2551
2019,math,5,80,2583
2019,math,5,90,2624
2019,math,5,99,2700
2022,math,5,1,2232
2022,math,5,10,2346
2022,math,5,20,2388
2022,math,5,30,2419
2022,math,5,40,2447
2022,math,5,50,2474
2022,math,5,60,2502
2022,math,5,70,2532
2022,math,5,80,2567
2022,math,5,90,2611
2022,math,5,99,2714
2023,math,5,1,2233
2023,math,5,10,2348
2023,math,5,20,2391
2023,math,5,30,2422
2023,math,5,40,2450
2023,math,5,50,2479
2023,math,5,60,2508
2023,math,5,70,2538
2023,math,5,80,2572
2023,math,5,90,2616
2023,math,5,99,2722
2024,math,5,1,2231
2024,math,5,10,2347
2024,math,5,20,2391
2024,math,5,30,2424
2024,math,5,40,2453
2024,math,5,50,2483
2024,math,5,60,2513
2024,math,5,70,2543
2024,math,5,80,2578
2024,math,5,90,2621
2024,math,5,99,2734
2025,math,5,1,2237
2025,math,5,10,2350
2025,math,5,20,2394
2025,math,5,30,2427
2025,math,5,40,2457
2025,math,5,50,2486
2025,math,5,60,2516
2025,math,5,70,2546
2025,math,5,80,2580
2025,math,5,90,2624
2025,math,5,99,2740
2015,math,6,1,2240
2015,math,6,10,2368
2015,math,6,20,2420
2015,math,6,30,2455
2015,math,6,40,2483
2015,math,6,50,2508
2015,math,6,60,2533
2015,math,6,70,2559
2015,math,6,80,2591
2015,math,6,90,2633
2015,math,6,99,2735
2016,math,6,1,2236
2016,math,6,10,2364
2016,math,6,20,2419
2016,math,6,30,2457
2016,math,6,40,2486
2016,math,6,50,2513
2016,math,6,60,2539
2016,math,6,70,2567
2016,math,6,80,2599
2016,math,6,90,2644
2016,math,6,99,2748
2017,math,6,1,2235
2017,math,6,10,2358
2017,math,6,20,2414
2017,math,6,30,2455
2017,math,6,40,2487
2017,math,6,50,2515
2017,math,6,60,2542
2017,math,6,70,2570
2017,math,6,80,2602
2017,math,6,90,2646
2017,math,6,99,2748
2018,math,6,1,2235
2018,math,6,10,2360
2018,math,6,20,2417
2018,math,6,30,2457
2018,math,6,40,2489
2018,math,6,50,2517
2018,math,6,60,2545
2018,math,6,70,2573
2018,math,6,80,2605
2018,math,6,90,2650
2018,math,6,99,2748
2019,math,6,1,2235
2019,math,6,10,2363
2019,math,6,20,2419
2019,math,6,30,2458
2019,math,6,40,2491
2019,math,6,50,2519
2019,math,6,60,2547
2019,math,6,70,2576
2019,math,6,80,2609
2019,math,6,90,2654
2019,math,6,99,2748
2022,math,6,1,2235
2022,math,6,10,2347
2022,math,6,20,2399
2022,math,6,30,2438
2022,math,6,40,2471
2022,math,6,50,2500
2022,math,6,60,2529
2022,math,6,70,2559
2022,math,6,80,2595
2022,math,6,90,2643
2022,math,6,99,2767
2023,math,6,1,2235
2023,math,6,10,2344
2023,math,6,20,2396
2023,math,6,30,2435
2023,math,6,40,2469
2023,math,6,50,2500
2023,math,6,60,2530
2023,math,6,70,2562
2023,math,6,80,2598
2023,math,6,90,2648
2023,math,6,99,2770
2024,math,6,1,2235
2024,math,6,10,2342
2024,math,6,20,2395
2024,math,6,30,2436
2024,math,6,40,2471
2024,math,6,50,2502
2024,math,6,60,2533
2024,math,6,70,2566
2024,math,6,80,2603
2024,math,6,90,2653
2024,math,6,99,2776
2025,math,6,1,2235
2025,math,6,10,2345
2025,math,6,20,2399
2025,math,6,30,2441
2025,math,6,40,2476
2025,math,6,50,2508
2025,math,6,60,2540
2025,math,6,70,2574
2025,math,6,80,2611
2025,math,6,90,2661
2025,math,6,99,2780
2015,math,7,1,2250
2015,math,7,10,2374
2015,math,7,20,2426
2015,math,7,30,2462
2015,math,7,40,2492
2015,math,7,50,2520
2015,math,7,60,2548
2015,math,7,70,2578
2015,math,7,80,2613
2015,math,7,90,2660
2015,math,7,99,2765
2016,math,7,1,2263
